Album, Artist,Tier,Date Listened, No. Songs, Length, Release Date
The Kinks Are the Village Green Preservation Society,The Kinks,1,21/04/2017,15,40 min,22/11/1968
Graceland (25th Anniversary),Paul Simon,1,04/04/2017,17,1 hr 7 min,25/08/1986
Forever Changes,Love,1,08/10/2017,,,
Bringing It All Back Home,Bob Dylan,1,14/05/2017,,,
Crooked Rain Crooked Rain,Pavement,1,05/01/2017,,,
A Sailor’s Guide to Earth,Sturgill Simpson,1,05/03/2017,,,
Run the Jewels 3,Run the Jewels,1,07/01/2017,,,
Melodrama,Lorde,1,04/07/2017,,,
Loveless,My Bloody Valentine,1,31/10/2017,,,
Highway 61 Revisited,Bob Dylan,1,22/06/2017,,,
Different Class,Pulp,1,21/08/2017,,,
Bury Me At Makeout Creek,Mitski,1,07/03/2017,,,
The Low End Theory,A Tribe Called Quest,1,17/02/2017,,,
The Queen Is Dead,The Smiths,1,27/04/2017,,,
Exile On Main St.,The Rolling Stones,1,17/10/2017,,,
Third Eye Blind,Third Eye Blind,1,17/12/2017,,,
3 Feet High And Rising,De La Soul,1,06/01/2017,,,
Merry Christmas Lil’ Mama Re-Wrapped,Jeremih & Chance,2,24/12/2012,,,
Nirvana,Nirvana,2,25/12/2016,,,
DAMN.,Kendrick Lamar,2,14/04/2017,,,
Lost In The Dream,The War On Drugs,2,21/07/2017,,,
Blonde On Blonde,Bob Dylan,2,07/08/2017,,,
Such Sweet Thunder,Duke Ellington,3,14/04/2017,,,
Paul’s Boutique,Beastie Boys,3,18/01/2017,,,
One For All,Brand Nubian,3,01/02/2017,,,
MOBO Presents: The Perfect Cast EP feat. Modern Baseball,Modern Baseball,3,09/01/2017,,,
Let’s Get It On,Marvin Gaye,3,02/07/2017,,,
The Namless Ranger,Modern Baseball,3,17/01/2017,,,
Step In The Arena,Gang Starr,3,07/02/2017,,,
The Future Is Now EP,toe,3,11/01/2017,,,
No One Can Do It Better,The D.O.C.,3,19/07/2017,,,
Beauty Behind The Madness,The Weeknd,3,01/04/2017,,,
Eazy-Duz-It,Eazy-E,3,20/04/2017,,,
Hear You,toe,3,09/01/2017,,,
Road To The Riches,Kool G Rap & DJ Polo,3,12/01/2017,,,
41Fivin,415,4,06/04/2017,,,
My Generation,The Who,4,28/03/2017,,,
Grip It! On That Other Level,Geto Boys,4,03/11/2017,,,
"“Awaken, My Love!”",Childish Gambino,4,26/02/2017,,,
The Iceburg / Freedom Of Speech..Just Watch What You Say,Ice-T,4,07/06/2017,,,
Rhyme Pays,Ice-T,4,08/03/2017,,,
Life Is… Too $hort,Too $hort,4,30/03/2017,,,
As Nasty As They Wanna Be,2 LIVE CREW,4,15/08/2017,,,
De La Soul Is Dead,De La Soul,4,12/02/2017,,,
"To The East, Blackwards",X-Clan,4,26/01/2017,,,
Slanted And Enchanted,Pavement,4,18/02/2017,,,
Return of the Funky Man,Lord Finesse,4,01/03/2017,,,
I Want You,Marvin Gaye,4,16/09/2017,,,
Born To Mack,Too $hort,4,07/03/2017,,,
Straight Out The Jungle,Jungle Brothers,4,05/01/2017,,,
Remain In Light (Deluxe Version),Talking Heads,4,18/02/2017,,,
Fear Of A Black Planet,Public Enemy,4,25/01/2017,,,
Act A Fool,King Tee,5,12/05/2017,,,
This Year’s Model,Elvis Costello & The Attractions,1,08/01/2018,,,
Jagged Little Pill,Alanis Morissette,1,19/01/2018,,,
Armed Forces,Elvis Costello & The Attractions,1,20/05/2018,,,
Weezer (Blue Album),Weezer,1,28/04/2018,,,
KIDS SEE GHOSTS,KIDS SEE GHOSTS,1,30/06/2018,,,
Kill the Moonlight,Spoon,1,28/07/2018,,,
Sumday,Grandaddy,1,05/09/2018,,,
Pleased To Meet Me,The Replacements,1,29/09/2018,,,
Astral Weeks,Van Morrison,2,11/02/2018,,,
Rum Sodomy & The Lash,The Pogues,2,26/03/2018,,,
ye,Kanye West,2,02/06/2018,,,
Nebraska,Bruce Springsteen,2,10/07/2018,,,
The Sophtware Slump,Grandaddy,2,05/08/2018,,,
Ga Ga Ga Ga Ga,Spoon,2,23/09/2018,,,
Fleetwood Mac,Fleetwood Mac,2,11/12/2018,,,
Mouth Moods,Niel Cicierega,3,02/06/2018,,,
