Book,Author,Tier,Date started,Date Finished,Pages,Publisher,Original Publication Date
The Bands of Mourning,Brandon Sanderson,1,25/12/2016,27/12/2016,,,
The Bell Jar,Sylvia Plath,1,2017,12/01/2017,,,
Rubicon,Tom Holland,1,17/09/2017,24/10/2017,,,
Norwegian Wood,Haruki Murakami,1,2017,28/05/2017,,,
Arcanum Unbound,Brandon Sanderson,1,16/02/2017,26/02/2017,,,
Kitchen,Banana Yoshimoto,2,2017,24/01/2017,,,
Agua Viva,Clarice Lispector,2,2017,15/02/2017,,,
"South of the Border, West of the Sun",Haruki Murakami,2,2017,16/04/2017,,,
The Road,Cormac McCarthy,2,2017,07/05/2017,,,
"Wild Sheep Chase, A",Haruki Murakami,2,19/03/2017,10/04/2017,,,
Logicomix: An Epic Search for Truth,Apostolos Doxiadis,2,19/09/2017,21/09/2017,,,
Understanding a Photograph,John Berger,2,2017,27/11/2017,,,
Nothing to Envy: Real Lives in North Korea,Barbara Demick,2,05/09/2017,16/09/2017,,,
How To Solve It,George Pólya,2,10/11/2017,31/12/2017,,,
What I Talk About When I Talk About Running,Haruki Murakami,2,01/08/2017,13/08/2017,,,
Kafka on the Shore,Haruki Murakami,2,2017,26/06/2017,,,
Planetes Vol.1 & 2,Makoto Yukimara,3,2017,13/02/2017,,,
"Disappearing Spoon, The",Sam Kean,3,23/02/2017,18/03/2017,,,
Onwards Towards Our Noble Deaths,Shigeru Mizuki,3,29/05/2017,02/06/2017,,,
Surely You’re Joking Mr.Feynman,Richard Feynman,3,25/10/2017,17/12/2017,,,
Ender’s Game,Orson Scott Card,3,2017,31/07/2017,,,
Absolutely on Music,Haruki Murakami,3,2017,27/07/2017,,,
the gods lie.,Kaori Ozaki,3,11/04/2017,11/04/2017,,,
Showa 1939-1944: A History Of Japan,Shigeru Mizuki,3,18/12/2017,21/12/2017,,,
Introducing: Philosophy A Graphic Guide,Dave Robinson,4,2017,08/07/2017,,,
August Heat,Andrea Camilleri,4,2017,05/09/2017,,,
Are you smart enough to work at Google?,William Poundstone,4,2017,21/03/2017,,,
The Man of Numbers,Keith Devlin,5,2017,03/07/2017,,,
Oathbringer,Brandon Sanderson,1,2018,16/01/2018,,,
