Game, Tier, Years Played, Release Date
Undertale,1,2017,2017,,,,
Majora's Mask 3D,1,2017,12/06/2017,,,,
VA-11 Hall-A: Cyberpunk Bartender Action,2,2017,04/04/2017,,,,
Celeste,1,2018,19/03/2018,,,,
Super Mario Odyssey,2,27/10/2018,01/12/2018,,,,
Star Wars Knights of the Old Republic II: The Sith Lords,,25/01/2018,,,,,
Wandersong,,27/01/2018,,,,,
Minit,,15/06/2020,,,,,
Doki Doki Literature Club!, 2, 2020, , , , ,
Spelunky 2, 0, 2020, , , , ,
Pillars of Eternity, , 2020-2021, 
Monster Prom 2: Monster Camp, , 2021
Phoenix Wright: Ace Attorney Trilogy, 2021
Rusty Lake: Roots, 2021
