Movie,Tier,Date Watched,Runtime,Director,Release Date
A Silent Voice,1,26/03/2017,,,
Baby Driver,1,11/07/2017,,,
In This Corner Of The World,2,28/06/2017,,,
Kung Fu Hustle,2,07/07/2017,,,
Star Wars: The Last Jedi,2,14/12/2017,,,
Spider-Man: Homecoming,2,11/07/2017,,,
Good Will Hunting,2,11/02/2017,,,
Se7en,3,03/12/2017,,,
La La Land,3,,,,
"The Night is Short, Walk on Girl",3,04/10/2017,,,
Logan,3,25/03/2017,,,
Death of a Superhero,3,24/04/2017,,,
Tropic Thunder,3,05/06/2017,,,
IT (2017),3,22/09/2017,,,
Call Me by Your Name,3,10/11/2017,,,
Power Rangers,4,25/03/2017,,,
Why Him,4,,,,
Premium Rush,4,20/10/2017,,,
Not Another Teen Movie,5,11/04/2017,,,
Short Term 12,1,24/02/2018,,,
Footloose,2,26/01/2018,,,
Dirty Dancing,2,27/01/2018,,,
Magic & Bird: A Courtship of Rivals,2,12/07/2018,,,
Akira,2,14/08/2018,,,
The Matrix,2,13/09/2018,,,
Kingsman: The Secret Service,2,18/09/2018,,,
Inside Out,3,28/02/2018,,,
Thor: Ragnarok,3,05/04/2018,,,
Avengers: Infinity War,3,02/05/2018,,,
Train to Busan,3,03/08/2018,,,
Trainspotting,3,04/08/2018,,,
The Perks of Being a Wallflower,3,12/08/2018,,,
Sleepless in Seattle,3,26/08/2018,,,
A Football Life – Dexter Manley,3,03/09/2018,,,
Dragon Ball Z: Resurrection 'F',4,(sometime in March),,,
Black Panther,4,24/03/2018,,,
The Nun,4,15/12/2018,,,
Jurassic World: Fallen Kingdom,5,02/08/2018,,,
Spider-Man: Into the Spider-Verse,0,14/04/2019,1 hr 57 min,"Bob Persichetti, Peter Ramsey, Rodney Rothman",14/12/2018
Avengers: Endgame,1,07/06/2019,181 min,"Anthony Russo, Joe Russo",22/04/2019
Spider-Man: Far From Home,2,04/07/2019,129 min,Jon Watts,02/02/2019
In Bruges,2,12/09/2019,107 min,Martin McDonagh,08/02/2008
Doctor Strange,3,01/02/2019,1 hr 55 min,Scott Derrickson,25/10/2016
Guardians of the Galaxy,3,17/01/2019,122 min,James Gunn,01/08/2014
Annihilation,3,29/03/2019,115 min,Alex Garland,13/02/2018
Ghost in the Shell,3,12/06/2019,82 min,Mamoru Oshii,18/11/1995
Paprika,3,23/08/2019,90 min,Satoshi Kon,25/11/2006
It Chapter Two,3,05/09/2019,196 min,Andy Muschietti,06/09/2019
Joker,3,06/11/2019,122 min,Todd Phillips,04/10/2019
The Bit Player,3,12/11/2019,80 min,Mark Levinson,
John Wick,3,29/11/2019,101 min,Chad Stahelski,24/10/2014
Bridget Jones: The Edge of Reason,4,14/02/2019,108 min,Beeban Kidron,12/11/2004
Shazam!,4,12/09/2019,132 min,David F. Sandberg,05/04/2019
Annabelle Comes Home,5,18/07/2019,106 min,Gary Dauberman,26/06/2019
Parasite, 0,13/02/2020, 132 min, Bong Joon-ho, 30/05/2019
John Wick: Chapter 2, 3, 05/12/2020, 122 min, Chad Stahelski, 30/01/2017
Twin Peaks: Fire Walk with Me, 2, 01/06/2021, 134 min, David Lynch, 1992
Starter for 10, 3, 22/06/2021, 92 min, Tom Vaughan, 2006
Good On Paper, 3, 24/06/2021, 92 min, Kimmy Gatewood, 23/06/2021
Heathers, 2, 29/07/2021, 1 hr 43 min, Michael Lehmann, 1989
Bo Burnham: Inside, 3, 23/08/2021, 87 min, Bo Burnham, 30/05/2021
Superman, 3, 24/08/2021, 143 min, Richard Donner, 1978
Tampopo, 2, 17/10/2021, 115 min, Juzo Itami, 1985
A Girl Walks Home Alone at Night, 2, 29/10/2021, 101 min, Ana Lily Amirpour, 2014
Dune: Part One, 2, 30/10/2021, 156 min, Denis Villeneuve, 22/10/2021
Evangelion: 1.11 You Are (Not) Alone, 2, 05/11/2021, 101 min, Hideaki Anno, 2007
Evangelion: 2.22 You Can (Not) Advance, 2, 06/11/2021, 113 min, Hideaki Anno, 2009
Evangelion: 3.3 You Can (Not) Redo, 3, 19/11/2021, 96 min, Hideaki Anno, 2012
Drive My Car, 2, 21/11/2021, 179 min, Ryusuke Hamaguchi, 2021
Evangelion: 3.0+1.0 Thrice Upon a Time, 3, 11/12/2021, 155 min, Hideaki Anno, 2021
Little Miss Sunshine, 1, 16/12/2021, 102 min, Jonathan Dayton and Valerie Faris, 2006
The Amazing Spider-Man 2, 3, 23/12/2021, 141 min, Marc Webb, 2014
Moulin Rouge!, 2, 28/12/2021, 128 min, Baz Luhrmann, 2001
No Time to Die, 3, 30/09/2021, 163 min, Cary Joji Fukunaga, 2021
