Show,Season,Tier,Date Started,Date Finished,Episodes,Episode Length,Premiere Date
JoJo's Bizarre Adventure,-,1,2017,04/11/2017,,,
Cross Game,-,1,2017,30/08/2017,,,
Bojack Horseman,1,1,2017,2017,,,
Stranger Things,2,3,29/10/2017,2017,,,
Game Of Thrones,4,1,2018,05/06/2018,,,
Game Of Thrones,5,1,2018,07/06/2018,,,
Boku No Hero Academia,3,1,2018,29/09/2018,,,
Kill La Kill,-,2,2018,23/01/2018,,,
Aggretsuko,1,2,2018,06/06/2018,,,
Game Of Thrones,6,2,10/06/2018,29/06/2018,,,
Hunter x Hunter,-,2,07/06/2018,12/07/2018,,,
Bojack Horseman ,2,2,2018,31/07/2018,,,
Game Of Thrones,7,3,06/07/2018,16/07/2018,,,
Konosuba,1,3,21/08/2018,29/08/2018,,,
Konosuba,2,3,08/09/2018,21/09/2018,,,
Dragon Ball Super,-,3,2018,-,,,
The O.C.,1,4,06/08/2018,-,,,
Shinsekai Yori,-,5,22/07/2018,-,,,
JoJo's Bizarre Adventure: Golden Wind,4,0,27/10/2018,10/08/2019,39,20 min,05/10/2018
Mob Psycho 100 II,2,1,07/01/2019,18/04/2019,13,20 min,07/01/2019
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,1,2,20/01/2019,13/04/2019,12,20 min,12/01/2019
Aggretsuko,2,2,05/07/2019,11/08/2019,20,15 min,14/06/2019
Derry Girls,1,3,21/08/2019,07/09/2019,6,22 min,04/01/2018
Derry Girls,2,3,08/09/2019,,5,22 min,05/03/2019
Game Of Thrones,8,4,20/04/2019,12/06/2019,6,1 hr 12 min,14/04/2019
Eizouken ni wa Te o Dasu na!,1,1,08/01/2020,23/03/2020,12,20 min,
Sex Education,1,1,26/01/2020,27/01/2020,,,
Boku no Hīrō Akademia,4,,2019,,,20 min,
Sex Education,2,,28/01/2020,,,,
The Witcher,1,2,28/12/2019,2020,,,
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,2, 2,16/04/2020,2020,,,
Gravity Falls,2,3,2020,19/04/2020,20,20 min,2014
Educating Essex,1,3,29/04/2020,02/05/2020,7,45 min,2011
Educating Yorkshire,2,2,03/05/2020,07/05/2020,8,45 min,2013
Educating the East End,3,3,08/05/2020,12/06/2020,8,45 min,2014
Normal People,1,0,09/05/2020,2020,12,25 min,26/04/2020
BNA: Brand New Animal,1,3,16/05/2020,18/05/2020,12,20 min,08/04/2020
Educating Cardiff,4,3,19/05/2020,2020,,,
The Wire,1,1,29/05/2020,10/06/2020,13,1 hr,02/06/2002
The Wire,2,1,12/06/2020,25/06/2020,12,1 hr,
Riverdale,1,3,16/06/2020,10/07/2020,,,
Stranger Things,3,,22/06/2020,,,,
The Luminaries,1,,21/06/2020,,6,1 hr,
The Wire,3,1,25/06/2020,30/06/2020,12,1 hr,
The Wire,4,2,30/06/2020,03/07/2020,13,1 hr,
Chihayafuru,1,1,09/07/2020, 2020,,20 min,
Chihayafuru,2,1, 2020,20/07/2020, ,20 min,
Chihayafuru,3,2,21/07/2020, 2020,,20 min,
The Wire,5,,21/07/2020,,,1 hr,
3-gatsu no Lion, 1, 1, 28/07/2020, 02/08/2020, 23, 20 min, 08/10/2016
3-gatsu no Lion, 2, 1, 03/08/2020, 08/08/2020, 22, 20 min, 14/10/2017
Dorohedoro, 1, 2, 13/08/2020, 17/08/2020, 13, 20 min, 12/20/2020
Yakusoku no Neverland, 1, 2, 19/08/2020, 22/08/2020, 12, 20 min, 11/01/2019
One Outs, 1, 2, 24/08/2020, 04/09/2020, 25, 20 min,
Shouwa Genroku Rakugo Shinjuu, 1, 1, 07/09/2020, 08/10/2020, 13, ,
Great Pretender, 1, , 19/09/2020, , , ,
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen, 2, , 14/10/2020, , 12, ,
The Queen's Gambit, 1, 1, 21/12/2020, 31/12/2020, 7, 1 hr, 23/10/2020
Twin Peaks, 1, 1, 06/04/2021, 10/04/2021, 8, 45 min, 1990
Twin Peaks, 2, 2, 11/04/2021, 17/05/2021, 22, 45 min, 1990
Twin Peaks, 3, 1, 29/05/2021, 10/06/2021, 18, 1 hr, 2017
Invincible, 1, 3, 05/06/2021, 08/06/2021, 8, 45 min, 2021
Serial Experiments Lain, 1, 3, 14/06/2021, 02/08/2021, 13, 20 min, 1998
I Think You Should Leave, 1, 2, 28/07/2021, 28/08/2021, 6, 15 min, 2019
Squid Game, 1, 3, 08/10/2021, , 9, , 2021
One-Punch Man, 2, 2, 23/01/2022, 26/01/2022, 12, 22 min, 2019
The Legend of Vox Machina, 1, 2, 11/02/2022, 12, 28 min, 2022
The Simpsons, 1, , 14/02/2022, , 13, 23 min, 1989
Baki, 1, , 17/04/2022, , 26, 23 min, 2018
Bridgerton, 1, 2, 02/04/2022, 10/04/2022, 8, 1 hr, 2020
Bridgerton, 2, , 11/04/2022, , 8, 1 hr, 2022
